PLAY #,ODK,DN,DIST,YDLN,PLAYTYPE,GNLS,RESULT
1,X,No Info,No Info,No info,---,---,---
2,K,No Info,No Info,-35,KO,No Info,Need to make things methods
3,K,No Info,No Info,-35,KO,No Info,Need to make things methods
4,D,No Info,No Info,No info,---,---,---
5,D,1,10,-35,Run,13,Rush
6,D,1,10,-48,Pass,0,Incomplete
7,D,2,10,-48,Run,6,Rush
8,D,3,4,46,Pass,4,Complete
9,D,1,10,42,Run,0,Rush
10,D,2,10,42,Pass,10,Complete
11,D,1,10,32,Pass,0,Incomplete
12,D,1,10,25,Pass,5,Complete
13,D,2,5,20,Pass,0,Incomplete
14,D,3,5,20,Pass,0,Incomplete
15,D,4,5,20,Pass,0,Incomplete
16,D,No Info,No Info,No info,No Info,No Info,No Info
17,O,No Info,No Info,No info,---,---,---
18,O,1,10,-20,No Info,No Info,No Info
19,O,1,10,-20,Run,3,Rush
20,O,2,7,-23,Pass,8,Complete
21,O,1,10,-31,Run,1,Rush
22,O,2,9,-32,Pass,0,Incomplete
23,O,3,9,-32,Pass,11,Complete
24,O,1,10,-43,Run,8,Rush
25,O,2,2,49,Pass,3,Complete
26,O,1,10,46,Pass,-2,Complete
27,O,2,12,48,Run,6,Rush
28,O,3,6,42,Run,19,Rush
29,O,1,10,23,Pass,-1,Complete
30,O,2,11,24,Run,0,Fumble
31,O,3,11,24,No Info,-3,Sack
32,O,4,14,27,Pass,0,Incomplete
33,O,No Info,No Info,No info,No Info,No Info,No Info
34,D,No Info,No Info,No info,---,---,---
35,D,1,10,-27,No Info,No Info,No Info
36,D,1,10,-27,Run,3,Rush
37,D,2,7,-30,Pass,0,Incomplete
38,D,3,7,-30,Pass,10,Complete
39,D,1,10,-40,Run,7,Rush
40,D,2,3,-47,Run,6,Rush
41,D,1,10,47,Run,-1,Rush
42,D,2,11,48,Pass,13,Complete
43,D,1,10,35,Run,-1,Rush
44,D,2,11,36,Run,-3,Rush
45,D,3,14,39,Pass,0,Incomplete
46,D,No Info,No Info,No info,---,---,---
47,D,4,14,39,No Info,No Info,No Info
48,K,4,14,39,PUNT,No Info,Fair Catch
49,K,No Info,No Info,No info,No Info,No Info,No Info
50,O,No Info,No Info,No info,---,---,---
51,O,1,10,-05,No Info,No Info,No Info
52,O,1,10,-05,Run,-2,Rush
53,O,2,12,-03,Run,12,Rush
54,O,1,10,-15,No Info,-4,Sack
55,O,2,14,-11,Pass,0,Incomplete
56,O,3,14,-11,Pass,11,Complete
57,K,4,3,-22,PUNT,No Info,Block
58,K,No Info,No Info,No info,No Info,No Info,No Info
59,D,No Info,No Info,No info,---,---,---
60,D,1,10,-32,No Info,No Info,No Info
61,D,1,10,-32,Run,2,Rush
62,D,2,8,-34,Pass,14,Complete
63,D,1,10,-48,Pass,8,Complete
64,D,2,2,44,Run,4,Rush
65,D,1,10,40,Run,19,Rush
66,D,1,10,21,Run,1,Rush
67,D,2,9,20,Pass,0,Incomplete
68,D,3,9,20,No Info,No Info,Timeout
69,D,3,9,20,Pass,0,Incomplete
70,D,4,9,20,Pass,0,Incomplete
71,D,No Info,No Info,No info,No Info,No Info,No Info
72,O,No Info,No Info,No info,---,---,---
73,O,1,10,-20,No Info,No Info,No Info
74,O,1,10,-20,Run,-1,Rush
75,O,2,11,-19,Run,0,Rush
76,O,3,11,-19,Pass,11,Complete
77,O,1,10,-30,Pass,0,Incomplete
78,O,2,10,-30,Pass,0,Incomplete
79,O,3,10,-30,Run,3,Rush
80,K,4,7,-33,PUNT,No Info,No Info
81,K,No Info,No Info,No info,No Info,No Info,No Info
82,D,No Info,No Info,No info,---,---,---
83,D,1,10,-18,No Info,No Info,No Info
84,D,1,10,-18,Pass,9,Complete
85,D,2,1,-27,Run,0,Rush
86,D,3,1,-27,Pass,0,Incomplete
87,K,4,1,-27,PUNT,No Info,Fair Catch
88,K,No Info,No Info,No info,No Info,No Info,No Info
89,O,No Info,No Info,No info,---,---,---
90,O,1,10,-34,No Info,No Info,No Info
91,O,1,10,-34,Run,21,Rush
92,O,1,10,45,Pass,4,Complete
93,O,2,6,41,Run,3,Rush
94,O,3,3,38,Run,9,Rush
95,O,1,10,29,Run,6,Rush
96,O,2,4,23,Run,10,Rush
97,O,1,10,13,Run,12,Rush
98,O,1,01,01,Run,1,"Rush, TD"
99,K,1,03,03,Extra Pt.,No Info,Good
100,K,1,35,HELP,KO,No Info,Return
101,K,No Info,No Info,No info,No Info,No Info,No Info
102,D,No Info,No Info,No info,---,---,---
103,D,1,10,-45,No Info,No Info,No Info
104,D,1,10,-45,Run,-1,Rush
105,D,2,11,-44,No Info,No Info,No Info
106,D,No Info,No Info,No info,No Info,No Info,No Info
107,D,No Info,No Info,No info,---,---,---
108,D,No Info,No Info,No info,---,---,---
109,K,No Info,No Info,-35,KO,No Info,Need to make things methods
110,O,No Info,No Info,No info,---,---,---
111,O,1,10,-40,No Info,No Info,No Info
112,O,1,10,-40,Run,7,Rush
113,O,2,3,-47,Run,5,Rush
114,O,1,10,48,Run,13,Rush
115,O,1,10,35,Pass,8,Complete
116,O,2,2,27,Run,-6,Rush
117,O,3,8,33,Pass,11,Complete
118,O,1,10,22,Run,5,Rush
119,O,2,5,17,Pass,8,Complete
120,O,1,09,09,Run,1,Rush
121,O,2,08,08,Run,5,Rush
122,O,2,18,18,Run,-4,Rush
123,O,3,22,22,Pass,22,"Complete, TD"
124,O,1,03,03,No Info,No Info,Penalty
125,K,1,03,03,Extra Pt.,No Info,Good
126,K,1,35,HELP,KO,No Info,Downed
127,K,No Info,No Info,No info,No Info,No Info,No Info
128,D,No Info,No Info,No info,---,---,---
129,D,1,10,-37,No Info,No Info,No Info
130,D,1,10,-37,Pass,5,Complete
131,D,2,5,-42,Pass,32,Complete
132,D,1,10,26,Run,4,Rush
133,D,2,6,22,Run,5,Rush
134,D,3,1,17,Run,4,Rush
135,D,1,10,13,Pass,0,Incomplete
136,D,2,10,13,Pass,-4,Complete
137,D,3,14,17,Pass,10,Complete
138,D,4,4,07,No Info,No Info,Penalty
139,K,4,9,12,FG,No Info,Good
140,K,1,35,HELP,KO,No Info,Downed
141,K,No Info,No Info,No info,No Info,No Info,No Info
142,O,No Info,No Info,No info,---,---,---
143,O,1,10,-26,No Info,No Info,No Info
144,O,1,10,-26,Run,4,Rush
145,O,2,6,-30,No Info,No Info,Penalty
146,O,2,11,-25,Run,5,Rush
147,O,3,6,-30,Pass,0,Incomplete
148,K,4,6,-30,PUNT,No Info,Fair Catch
149,K,4,1,HELP,Run,3,Rush
150,K,1,10,HELP,Run,2,Rush
151,K,2,8,HELP,Run,7,Rush
152,K,No Info,No Info,No info,---,---,---
153,K,3,1,HELP,No Info,No Info,No Info
154,K,3,1,HELP,Run,-1,Rush
155,K,4,2,HELP,Run,0,Rush
156,K,No Info,No Info,No info,No Info,No Info,No Info
157,D,No Info,No Info,No info,---,---,---
158,D,1,10,46,No Info,No Info,No Info
159,D,1,10,46,No Info,-1,Sack
160,D,2,11,47,Pass,0,Incomplete
161,D,3,11,47,Pass,10,Complete
162,D,4,1,37,Run,2,Rush
163,D,1,10,35,Pass,6,Complete
164,D,2,4,29,Pass,16,Complete
165,D,1,10,13,Run,4,Rush
166,D,2,6,09,No Info,No Info,Penalty
167,D,2,21,24,Pass,4,Complete
168,D,3,17,20,Pass,No Info,Return
169,D,No Info,No Info,No info,No Info,No Info,No Info
170,O,No Info,No Info,No info,---,---,---
171,O,1,10,-25,No Info,No Info,No Info
172,O,1,10,-25,No Info,No Info,No Info
173,O,1,10,-20,Pass,0,Incomplete
174,O,2,10,-20,Run,8,Rush
175,O,3,2,-28,Run,3,Rush
176,O,1,10,-31,Pass,6,Complete
177,O,2,4,-37,Run,1,Rush
178,O,3,3,-38,Run,-1,Rush
179,K,4,4,-37,PUNT,No Info,Fumble
180,K,No Info,No Info,No info,No Info,No Info,No Info
181,O,No Info,No Info,No info,---,---,---
182,O,1,10,23,No Info,No Info,No Info
183,O,1,10,23,No Info,No Info,Penalty
184,O,1,10,11,Pass,11,"Complete, TD"
185,K,1,03,03,Extra Pt.,No Info,Good
186,K,1,35,HELP,No Info,No Info,Penalty
187,K,1,20,HELP,KO,No Info,Return
188,K,No Info,No Info,No info,No Info,No Info,No Info
189,D,No Info,No Info,No info,---,---,---
190,D,1,10,49,No Info,No Info,No Info
191,D,1,10,49,Pass,10,Complete
192,D,1,10,39,Run,1,Rush
193,D,2,9,38,Pass,6,Block
194,D,2,18,47,Pass,12,Complete
195,D,3,6,35,Pass,0,Incomplete
196,D,4,6,35,Pass,19,Complete
197,D,1,10,16,Pass,0,Incomplete
198,D,2,10,16,Pass,0,Incomplete
199,D,3,10,16,Pass,0,Incomplete
200,D,4,10,16,Pass,-2,Complete
201,D,No Info,No Info,No info,No Info,No Info,No Info
202,O,No Info,No Info,No info,---,---,---
203,O,1,10,-18,No Info,No Info,No Info
204,O,1,10,-18,Run,1,Rush
205,O,2,9,-19,Run,5,Rush
206,O,3,4,-24,No Info,No Info,Timeout
207,O,3,4,-24,Run,15,Rush
208,O,1,10,-39,Run,1,Rush
209,O,2,9,-40,Run,-1,Rush
210,O,3,10,-39,No Info,No Info,No Info
211,O,No Info,No Info,No info,No Info,No Info,No Info
